nof_features,train_score,val_score,selected_features,discarded_features
5,0.6700783972125436,0.586831562445567,"Time To Assembly, Time To First Hearing, Time to C-3 Date, Injury Type Combined, Zip Code Frequency","Age at Injury, Average Weekly Wage, Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time to C-2 Date, Age Group, Industry Risk, Economic Impact, Process Complexity, Accident Season, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
10,0.7327526132404181,0.6739244034140394,"Age at Injury, Average Weekly Wage, WCIO Part Of Body Code, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Carrier Name Frequency, Zip Code Frequency","Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Economic Impact, Process Complexity, Accident Season, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
15,0.8499128919860627,0.7390698484584567,"Age at Injury, Average Weekly Wage, Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Carrier Name Frequency, County of Injury Frequency, Zip Code Frequency, Accident Date_Day","IME-4 Count, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Economic Impact, Process Complexity, Accident Season, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Industry Code Description Frequency, District Name Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Accident Date_Month, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
20,0.7429878048780488,0.6697439470475527,"Age at Injury, Average Weekly Wage, Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Wage * Economic Impact, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Accident Date_Day, Assembly Date_Day, C-3 Date_Day","IME-4 Count, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Economic Impact, Process Complexity, Accident Season, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Accident Date_Month, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
25,0.8283101045296167,0.7195610520815189,"Age at Injury, Average Weekly Wage, Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Economic Impact, Wage * Economic Impact, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, COVID and Industry Frequency, Accident Date_Day, Assembly Date_Month, Assembly Date_Day, C-2 Date_Day, C-3 Date_Day, First Hearing Date_DayOfWeek","IME-4 Count, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Process Complexity, Accident Season, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Type Frequency, Industry Code Frequency, Accident Date_Year, Accident Date_Month, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
30,0.8679442508710802,0.7429019334610695,"Age at Injury, Average Weekly Wage, Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Economic Impact, Log Average Weekly Wage, Wage * Economic Impact, Attorney_Representative_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Assembly Date_Month, Assembly Date_Day, C-2 Date_Day, C-3 Date_Day, First Hearing Date_DayOfWeek","IME-4 Count, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Process Complexity, Accident Season, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Type Frequency, Accident Date_Year, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
35,0.7610627177700349,0.6702665040933635,"Age at Injury, Average Weekly Wage, Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Economic Impact, Log Average Weekly Wage, Wage * Economic Impact, Attorney_Representative_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Assembly Date_Month, Assembly Date_Day, C-2 Date_Month, C-2 Date_Day, C-3 Date_Day, First Hearing Date_Month, First Hearing Date_DayOfWeek, Accident Month Cos","missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Process Complexity, Accident Season, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Type Frequency, Accident Date_Year, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
40,0.8417682926829269,0.7235673227660686,"Age at Injury, Average Weekly Wage, Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Economic Impact, Process Complexity, Log Average Weekly Wage, Average Weekly Wage Squared, Wage * Economic Impact, IME-4 / Economic Impact, Attorney_Representative_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-3 Date_Day, First Hearing Date_Month, First Hearing Date_DayOfWeek, Accident Month Cos","missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Accident Season, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Type Frequency, Accident Date_Year, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_IsWeekend, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
45,0.7598867595818816,0.6772339313708413,"Age at Injury, Average Weekly Wage, Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Economic Impact, Process Complexity, Log Average Weekly Wage, Average Weekly Wage Squared, Wage * Economic Impact, IME-4 / Economic Impact, Attorney_Representative_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Day, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_DayOfWeek, Accident Month Cos, Assembly Month Cos, C-3 Month Sin","missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Age Group, Industry Risk, Accident Season, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Assembly Month Sin, C-2 Month Sin, C-2 Month Cos, C-3 Month Cos"
50,0.7659843205574913,0.6775823027347152,"Age at Injury, Average Weekly Wage, Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Injury Type Combined, Economic Impact, Process Complexity, Log Average Weekly Wage, Average Weekly Wage Squared, Wage * Economic Impact, IME-4 / Economic Impact, Attorney_Representative_Y, Dispute_and_Rep_N_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, C-3 Date_Day, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_DayOfWeek, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-3 Month Sin, C-3 Month Cos","missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, Age Group, Industry Risk, Accident Season, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, C-2 Month Sin, C-2 Month Cos"
